Beta_Carot,Calcium_(mg),Carbohydrt_(g),Energ_Kcal,Fiber_TD_(g),Iron_(mg),Lipid_Tot_(g),Magnesium_(mg),Manganese_(mg),Protein_(g),Sodium_(mg),Vit_A_RAE,Vit_B12,Vit_B6_(mg),Vit_C_(mg),Vit_D,Vit_E_(mg),Water_(g)
0,0.003666,0,0.182927,0,0.017261,0.0829,0.030942,2.16E-04,0.247897,0.001393,0,0.035489,0.096796,0,0.003559,0.008033,0.695295
7.60E-05,0.003123,0.429086,0.279379,0.026365,0.004232,0.085,0.008439,8.32E-04,0.028037,0.006553,0.002235,0.004812,0.004408,1.05E-04,0.003559,0.003651,0.454454
0,2.72E-04,0.095619,0.04102,0,0.001225,2.00E-04,0,3.30E-05,8.18E-04,1.03E-04,0,0,0,0,0,0,0.904004
0,0.002716,0.089918,0.288248,0.00565,0.01392,0.132,0.033755,8.98E-04,0.290187,0.007095,0.001863,0.009023,0.072894,0,0.003559,0.025803,0.516917
0,0.001358,0,0.17184,0,0.02216,0.0764,0.029536,0.001197,0.252921,0.001625,1.86E-04,0.058947,0.08832,0,0.003559,0.003408,0.702803
0,0.001765,0,0.169623,0,0.012027,0.0407,0.032349,2.49E-04,0.316939,0.001316,7.45E-04,0.009323,0.091541,0,0.003559,0.006573,0.679179
0,0.005296,0.09842,0.239468,0.003766,0.018263,0.0627,0.045007,0.002279,0.331893,0.01174,9.31E-04,0.038496,0.071199,0,0,0.012902,0.531932
2.29E-04,0.005296,0.75045,0.312639,0.150659,0.011359,0.0039,0.060478,0.004357,0.028621,5.20E-05,0,0,0.027971,2.11E-04,0,0.001217,0.205506
0,0.001901,0.659032,0.269401,0.163842,0.01559,0.0032,0.022504,0.001497,0.010864,0.002245,0,0,0.02119,0.002053,0,0.012902,0.317918
0,0.007333,0.777856,0.48337,0.028249,0.007461,0.1275,0.040788,0.002661,0.030374,0.005005,0.001863,0.004812,0.002543,1.05E-04,0,0.023856,0.058058
0.001452,6.79E-04,0.321464,0.146341,0.041431,0.006459,0.0027,0.004219,3.99E-04,0.002336,0.022008,3.73E-04,0,0,0,0,4.87E-04,0.651051
0,6.79E-04,0.106021,0.045455,0,5.57E-04,0,0.001406,2.16E-04,0,3.35E-04,0,0,0,0,0,0,0.893894
0,0.002444,0,0.140798,0,0.007238,0.0371,0.036568,1.33E-04,0.256893,0.001496,0,0.015038,0.125784,0,0.014235,0.003165,0.736937
0,1.36E-04,0.9979,0.431264,0,6.68E-04,0,0,6.70E-05,0,5.20E-05,0,0,0,0,0,0,0.002302
0,6.79E-04,0.024305,0.0898,0,0.010913,0.0252,0.015471,6.15E-04,0.140537,0.001058,0,0.037895,0.006611,0.001105,0.014235,0.009007,0.825225
0,0.002173,0,0.292683,0,0.016704,0.2145,0.029536,3.16E-04,0.193692,0.001574,0,0.07609,0.022038,0,0.003559,0.005355,0.614515
0,0.001358,0,0.196231,0,0.012027,0.0827,0.033755,3.49E-04,0.280257,0.002245,7.45E-04,0.01203,0.07764,0,0.007117,0.004382,0.674374
